,Noun,Year,Artist,Popularity
643,Kind,2021,Mudi,20
644,Kind,2021,Mudi,20
645,Kind,2021,Mudi,20
646,Kind,2021,Mudi,20
647,Menschen,2021,Mudi,16
648,Fans,2021,Mudi,16
649,Sonnenschein,2021,Mudi,30
650,Sonnenschein,2021,Mudi,30
651,Sonnenschein,2021,Mudi,30
652,Sonnenschein,2021,Mudi,30
653,Sonnenschein,2021,Mudi,30
654,Sonnenschein,2021,Mudi,30
655,Sonnenschein,2021,Mudi,30
656,Sonnenschein,2021,Mudi,30
657,Sonnenschein,2021,Mudi,30
658,Sonnenschein,2021,Mudi,30
659,Sonnenschein,2021,Mudi,30
660,Sonnenschein,2021,Mudi,30
661,Mensch,2021,Mudi,34
662,Menschen,2021,Mudi,34
663,Menschen,2021,Mudi,15
664,Mensch,2021,Mudi,15
665,Follower,2021,Mudi,15
666,Fans,2021,Mudi,15
667,Menschen,2021,Mudi,13
668,Vater,2021,Mudi,13
669,Menschen,2021,Mudi,13
670,Menschen,2021,Mudi,13
671,Fans,2021,Mudi,13
672,Menschen,2021,Mudi,13
673,Menschen,2021,Mudi,13
674,Menschen,2021,Mudi,13
675,Menschen,2021,Mudi,13
676,Zimmer,2023,Jamule,43
677,Fans,2023,Jamule,48
678,Team,2023,Jamule,55
679,Stimme,2023,Jamule,55
680,Stimme,2023,Jamule,55
681,Liebling,2023,Jamule,44
682,Kreis,2023,Jamule,43
683,Stimme,2023,Jamule,43
684,Stimme,2023,Jamule,43
685,Vater,2023,Jamule,48
686,Zimmer,2022,Jamule,33
687,Liebling,2022,Jamule,39
688,Nachbarschaft,2022,Jamule,37
689,Nachbarschaft,2022,Jamule,37
690,Nachbarschaft,2022,Jamule,37
691,Nachbarschaft,2022,Jamule,37
692,Nachbarschaft,2022,Jamule,37
693,Nachbarschaft,2022,Jamule,37
694,Chor,2022,Jamule,46
695,Team,2022,Jamule,39
696,Konzert,2022,Jamule,61
697,Eltern,2022,Jamule,53
698,Kamera,2022,Jamule,37
699,Zimmer,2022,Jamule,28
700,Vater,2022,Jamule,31
701,Kind,2022,Jamule,31
702,Kind,2022,Jamule,31
703,Kind,2022,Jamule,31
704,Kind,2022,Jamule,31
705,Kind,2022,Jamule,31
706,Kind,2022,Jamule,31
707,Kind,2022,Jamule,31
708,Kind,2022,Jamule,31
709,Kind,2022,Jamule,31
710,Kind,2022,Jamule,31
711,Kind,2022,Jamule,31
712,Kind,2022,Jamule,31
713,Pause,2022,Jamule,32
714,Stimme,2022,Jamule,30
715,Stimme,2022,Jamule,30
716,Management,2022,Jamule,30
717,DJ,2022,Jamule,30
718,Kreis,2022,Jamule,30
719,Kind,2021,Jamule,34
720,Kind,2021,Jamule,34
721,Kind,2021,Jamule,34
722,Kreis,2021,Jamule,34
723,Rollen,2021,Jamule,42
724,Rollen,2021,Jamule,42
725,Vater,2021,Jamule,42
726,Wache,2021,Jamule,42
727,Rollen,2021,Jamule,42
728,Rollen,2021,Jamule,42
729,Rollen,2021,Jamule,42
730,Rollen,2021,Jamule,42
731,Kamera,2021,Jamule,31
732,Fans,2021,Jamule,46
733,Stimme,2021,Jamule,33
734,Stimme,2021,Jamule,33
735,Kind,2021,Jamule,33
736,Kind,2021,Jamule,33
737,Kind,2021,Jamule,33
738,Stimmen,2021,Jamule,42
739,Stimmen,2021,Jamule,42
740,Stimmen,2021,Jamule,42
